Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
Concours pour le nouveau bâtiment des écoles des filles à Vevey,,,,,,Vevey,,Vaud,1872,1872,A. national,"Ouvert par la Municipalité sur décret du 15 mai du Conseil communal. Pas d'indication de composition du jury, de date d'ouverture ou de rendu ni de programme ou de conditions de participation (concours national au moins: deux lauréats travaillent à Stuttgart) dans l'Eisenbahn. Le concours est mentionné en 1878 (Eisenbahn vol. IX p.81) à l'occasion de la mise en service du bâtiment construit par Benjamin Recordon",,,,
"Concours pour le nouveau bâtiment des écoles des filles à Vevey, jugement",,,,,,Vevey,,Vaud,1872,,,"Le concours est mentionné en 1878 (Eisenbahn vol. IX p.81: historique, programme, dessins) à l'occasion de la mise en service du bâtiment construit par Benjamin Recordon. Dix-huit projets remis. Pas de premier prix. Trois 2e prix ex aequo 700.-  Un 3e prix 400.-  Une mention honorable à un architecte de Lausanne (son identité n'est pas précisée)","Stadler +;Ritscher von Steinbeck +;Recordon, Benjamin;Rouge +;Moritz;Monneron +","3e prix;3e prix;Juré, rapporteur;Concurrent;2e prix ex aequo;2e prix ex aequo",,
Concours (1er degré) pour le monument du général Dufour,,,,,,Genève,,Suisse,1877,12.1877,National,"Chercher dans Eisenbahn vol. V une annonce d'ouverture. Pas d'indication de programme, de date d'ouverture ou de rendu, ni de profession et de conditions de participation. Le concours est probablement ouvert au niveau national. Stehlin, J: il s'agit vraisemblablement de J. J. Stehlin (II)","Thomas, Jules;Cain, Auguste-Nicolas;Rothpletz, E;Iguel, Charles;Bourdillon, André Marcel;Lasius, G;Menn, Barthélemy;Dorcière, L;Stehlin, Johann Jakob (II);Franel, Jean;Millet, Aimé",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré,,
"Concours restreint pour le nouveau Musée de la Société Industrielle de Mulhouse, jugement",,,,,,Mulhouse,,,1879,1879,,"""Par suite d'un concours entre un nombre restreint d'architectes de Mulhouse, de la Suisse et de Paris le projet de M. de Rutté fut adopté comme présentant les conditions d'exécution les plus économiques"", description de l'objet terminé SBZ 1884 vol.IV p.89 sans autre indication à propos du concours (MO, dates, jury, lauréats)","Rütti, Ludwig Friedrich von",Concurrent,,
Concours d'éléments analytiques : 2e classe : Rendu : La façade d'un phare,,,,,,,,,1882,,,,,,,0138.04.0001/262
Concours d'émulation - 2e classe - Esquisse: Une chambre à coucher princière,,,,,,Paris,,France,1883,,,"""Dans les grands palais, la chambre  coucher du prince a, par sa disposition et sa richesse, une importance qui en fait une des pièces principales de l'appartement.;Le principal motif de décoration de la chambre à projeter sera le lit, élevé sur une estrade fermée par une riche balustrade, et c'est sur ce point qu'on devra porter particulièrement son attention.;La longueur de la chambre, du côté du lit, n'excèdera pas 10 mètre; les autres dimensions sont indéterminées.;On fera le plan de la chambre avec arrachement des pièces adjacentes sur une échelle de 0m,01 pour mètre, et une coupe transversale, faisant voir la face du lit, à l'échelle double de celle du plan.""","Lesueur, Jean-Baptiste-Cicéron",,,0138.04.0001/71
"Concours pour l'usine de la Coulouvrenière, à Genève, jugement",,Coulouvrenière,,,,Genève,,Genève,1883,,,Pas d'extrait de rapport du jury dans la SBZ. Quatre projets remis. Pas d'indication du lauréat ou du montant d'éventuels prix. Voir SBZ 1886 vol.VIII p.146 le compte-rendu d'un exposé de l'ingénieur-entrepreneur Chappuis devant la SVIA à ce sujet,Turnbull;Bell & Cie;Escher Wyss & Cie;Rieter & Cie,Concurrent;Concurrent;Concurrent;Concurrent,,
Concours d'éléments analytiques : 2e classe : Rendu: Les détails d'un portique d'ordre dorique romain,,,,,,,,,1884,,,,,,,0138.04.0001/204 ; 0138.04.0001/268
Concours d'émulation - 2e classe - Esquisse: Un bureau de recrutement pour un chef-lieu de département,,,,,,Paris,,France,1884,,,"Projet en lien avec la nouvelle organisation de l'armée , doit servir pour l'armée et pour la territoriale.[sic];""Le caractère de cette construction doit être la durabilité et cette mâle simplicité que présentent les édifices militaires des derniers siècles."";Programme: cours de 250 m2, magasins de 70, petit corps de garde, salle de police cabinets d'aisance dont un pour les officiers, vestibule, chambres et bureaux, 2 ateliers; à l'étage, bureaux; 2e étage,chambre, salle et dortoir.;Terrain isolé de toute part, superficie pas + de 500 m2.;""On fera les plans des étages à l'échelle de 0m,0025 pour mètre et l'élévation au double.;Toute esquisse dessinée au crayon seulement sera mise hors de concours.""","Guillaume, Edmond-Jean-Baptiste",,,0138.04.0001/72
Concours pour une école d'horlogerie au Locle,,,,,,Le Locle,,Suisse,1884,1884,,"Pas d'indication de MO, de date d'ouverture ou de rendu dans la SBZ. Apparemment seuls les architectes membres du jury sont mentionnés (SBZ vol.III p.108)","Mayor, William;Rychner, Alfred",2e prix ex aequo;2e prix ex aequo,,
"Concours pour une école d'horlogerie au Locle, jugement",,,,,,Le Locle,,Suisse,1884,,,Pas d'extrait de rapport du jury dans la SBZ. Quatorze projets remis. Pas d'indication du montant des primes,"Colin, James Edouard;Ritter +;Piquet, Edouard-Eugène +;Favre, H",1er  prix;3e prix;3e prix;1er  prix,,
Concours restreint pour un bâtiment des salles de conférences à Neuchâtel,,,,,,Neuchâtel,,Suisse,1884,1884,Invitation,"Pas d'indication du MO (la ville?), brève description du programme SBZ août 1884 vol.IV p.43, pas d'indication de dates (en août1884  le bâtiment est pratiquement achevé), seuls les architectes membres du jury sont mentionnés","Châtelain, Léo;Droz, A",Juré;Juré,,
"Concours restreint pour un bâtiment des salles de conférences à Neuchâtel, jugement",,,,,,Neuchâtel,,Suisse,1884,,,"Pas d'extrait de rapport du jury (il n'a d'ailleurs pas été communiqué aux concurrents), ni d'indication du nombre de projets remis ou de montant des primes. ""Le comité a chargé M. Rychner de l'exécution du travail"", voir SBZ 1884 vol.IV p.43","Colin, James Edouard;Mayor, William;Rychner, Alfred",1er  prix;2e prix ex aequo;2e prix ex aequo,,
Concours : Prix Godeboeuf : 1885 : Une horloge adossée,,,,,,,,,1885,,,Porte les armes de Genève ainsi que la lettre G dans un cartouche. Surmontée d'un coq.,,,,0138.04.0001/60 ; 0138.04.0001/176
Concours d'émulation : 1ère classe : Esquisse: L'entrée principale d'un grand cimetière,,,,,,,,,1885,,,,,,,0138.04.0001/269
Concours d'émulation : 2e classe : Esquisse : Un banc d'&#339;uvre pour une Eglise paroissiale de petite ville,,,,,,,,,1885,,,,,,,0138.04.0001/89
Concours d'émulation : 2e classe : Rendu: Un théâtre pour une ville de second ordre,Culture et vie sociale,,,,,,,,1885,,,,,,,0138.04.0001/157 ; 0138.04.0001/174 ; 0138.04.0001/156
Concours pour une fontaine monumentale à élever sur la Place Neuve,Monument,pl. Neuve,,,,Genève,,Genève,1885,1886,,"Fontaine décorative à placer contre la Terrasse de M. de Sellon.;ouvert aux artistes genevois et suisses, ainsi qu'aux étrangers résidant à Genève.;Les projets peuvent être exécutés en peinture, dessin ou modelage à l'échelle de 5 cm /m. + un dessin d'ensemble. ;Le document explicite les conditions de nomination des jurés, les prix, etc. ;;""Les Artistes désirant faire ce Concours pourront aussi se procurer au prix de revient une photographie spéciale de l'ensemble de la Place Neuve"".",Section des Beaux-Arts de l'Institut National Genevois,,,0138.04.0001/81 ; 0138.04.0001/140 ; 0138.04.0001/79 ; 0138.04.0001/179 ; 0138.04.0001/80 ; 0138.04.0001/76 ; 0138.04.0001/78 ; 0138.04.0001/180 ; 0138.04.0001/82 ; 0138.04.0001/75 ; 0138.04.0001/77
Concours : Prix Godeboeuf : 1886 : Un lampadaire électrique,,,,,,,,,1886,,,,,,,0138.04.0001/255
Concours d'émulation : 1ère classe : Esquisse : Un monument commémoratif d'une Exposition universelle,,,,,,,,,1886,,,"Obélisque sur socle monumental, surmonté d'une statue féminine",,,,0138.04.0001/202
Concours d'émulation : 1ère classe : Rendu : Un odéon ou Salle de concert ,Culture et vie sociale,,,,,,,,1886,,,,,,,0138.04.0001/163 ; 0138.04.0001/158 ; 0138.04.0001/161
Premier concours pour le musée des beaux-Arts,Culture et vie sociale,,,,,Genève,,Suisse,1886,,A.suis.ét.canton,"Les concurrents ont le choix entre deux emplacements: La promenade de St-jean et le terrain des Casemates.;Le programme comporte: les collections de peinture; une galerie de sculpture; le musée des arts décoratifs (en création); des locaux ou galeries pour collections de plâtres, collection lapidaire, atelier de réparations, etc.",,,,
Concours : Prix Godeboeuf : 1887 : Un pont galerie au-dessus d'une rue,,,,,,,,,1887,,,,,,,0138.04.0001/175
Concours d'émulation : 1ère classe - Rendu : Un hôtel de Préfecture,,,,,,,,,1887,,,,,,,0138.04.0001/148 ; 0138.04.0001/147 ; 0138.04.0001/149 ; 0138.04.0001/141
Concours d'émulation : 1ère classe : Esquisse : Un amphithéâtre pour les oraisons funèbre,Religion,,,,,,,,1887,,,"Edifice de plan carré, couvert d'une coupole, d'inspiration antiquisante.;;Le nom de l'objet a pu être identifié grâce au dossier des Archives nationales de France",,,,0138.04.0001/203
Concours d'émulation : 1ère classe : Rendu : Une porte de ville,,,,,,,,,1887,,,"Selon le dossier des Archives nationales de France, Morsier obtient une mention pour son projet.;;",,,,0138.04.0001/178 ; 0138.04.0001/188
Concours d'émulation du 6 décembre [18]87: Escalier Henri II au Palais du Louvre,,,,,,,,,1887,,,Le titre au crayon rouge sur le plan de l'escalier remplace le titre imprimé qui était: Concours d'ornement et d'ajustement du 5 février 1887.,,,,0138.04.0001/61
Concours d'émulation : 1ère classe : Esquisse : La distribution d'un hôtel sur un terrain irrégulier,,,,,,,,,1888,,,,,,,0138.04.0001/190
Concours d'émulation : 1ère classe : Esquisse : Un pavillon pour l'Exposition universelle,Culture et vie sociale,,,,,,,,1888,,,,,,,0138.04.0001/154
"Concours d'émulation : 1ère classe : Rendu : Une villa dans les environs de Nice, 3.4.1888",,,,,,,,,1888,,,,,,,0138.04.0001/107 ; 0138.04.0001/168 ; 0138.04.0001/169 ; 0138.04.0001/166
