orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
0,Concours pour le nouveau bâtiment des écoles des filles à Vevey,,,,,,Vevey,,Vaud,1872-01-01,1872-01-01,A. national,"Ouvert par la Municipalité sur décret du 15 mai du Conseil communal. Pas d'indication de composition du jury, de date d'ouverture ou de rendu ni de programme ou de conditions de participation (concours national au moins: deux lauréats travaillent à Stuttgart) dans l'Eisenbahn. Le concours est mentionné en 1878 (Eisenbahn vol. IX p.81) à l'occasion de la mise en service du bâtiment construit par Benjamin Recordon",,,,,,False,[1],0
1,"Concours pour le nouveau bâtiment des écoles des filles à Vevey, jugement",,,,,,Vevey,,Vaud,1872-01-01,,,"Le concours est mentionné en 1878 (Eisenbahn vol. IX p.81: historique, programme, dessins) à l'occasion de la mise en service du bâtiment construit par Benjamin Recordon. Dix-huit projets remis. Pas de premier prix. Trois 2e prix ex aequo 700.-  Un 3e prix 400.-  Une mention honorable à un architecte de Lausanne (son identité n'est pas précisée)","Stadler +;Ritscher von Steinbeck +;Recordon, Benjamin;Rouge +;Moritz;Monneron +","3e prix;3e prix;Juré, rapporteur;Concurrent;2e prix ex aequo;2e prix ex aequo",,,"[array(['Stadler', 'Ritscher von Steinbeck', 'Recordon, Benjamin'],
       dtype=object)
 array(['Rouge', 'Moritz'], dtype=object)
 array(['Monneron'], dtype=object)]",True,[0],1
2,Concours (1er degré) pour le monument du général Dufour,,,,,,Genève,,Suisse,1877-01-01,1877-12-01,National,"Chercher dans Eisenbahn vol. V une annonce d'ouverture. Pas d'indication de programme, de date d'ouverture ou de rendu, ni de profession et de conditions de participation. Le concours est probablement ouvert au niveau national. Stehlin, J: il s'agit vraisemblablement de J. J. Stehlin (II)","Thomas, Jules;Cain, Auguste-Nicolas;Rothpletz, E;Iguel, Charles;Bourdillon, André Marcel;Lasius, G;Menn, Barthélemy;Dorcière, L;Stehlin, Johann Jakob (II);Franel, Jean;Millet, Aimé",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré,,,"[array(['Thomas, Jules'], dtype=object)
 array(['Cain, Auguste-Nicolas'], dtype=object)
 array(['Rothpletz, E'], dtype=object)
 array(['Iguel, Charles'], dtype=object)
 array(['Bourdillon, André Marcel'], dtype=object)
 array(['Lasius, G'], dtype=object)
 array(['Menn, Barthélemy'], dtype=object)
 array(['Dorcière, L'], dtype=object)
 array(['Stehlin, Johann Jakob (II)'], dtype=object)
 array(['Franel, Jean'], dtype=object)
 array(['Millet, Aimé'], dtype=object)]",False,[1540],2
3,"Concours restreint pour le nouveau Musée de la Société Industrielle de Mulhouse, jugement",,,,,,Mulhouse,,,1879-01-01,1879-01-01,,"""Par suite d'un concours entre un nombre restreint d'architectes de Mulhouse, de la Suisse et de Paris le projet de M. de Rutté fut adopté comme présentant les conditions d'exécution les plus économiques"", description de l'objet terminé SBZ 1884 vol.IV p.89 sans autre indication à propos du concours (MO, dates, jury, lauréats)","Rütti, Ludwig Friedrich von",Concurrent,,,"[array(['Rütti, Ludwig Friedrich von'], dtype=object)]",True,[],3
4,Concours d'éléments analytiques : 2e classe : Rendu : La façade d'un phare,,,,,,,,,1882-01-01,,,,,,,0138.04.0001/262,,False,[],4
5,Concours d'émulation - 2e classe - Esquisse: Une chambre à coucher princière,,,,,,Paris,,France,1883-01-01,,,"""Dans les grands palais, la chambre  coucher du prince a, par sa disposition et sa richesse, une importance qui en fait une des pièces principales de l'appartement.;Le principal motif de décoration de la chambre à projeter sera le lit, élevé sur une estrade fermée par une riche balustrade, et c'est sur ce point qu'on devra porter particulièrement son attention.;La longueur de la chambre, du côté du lit, n'excèdera pas 10 mètre; les autres dimensions sont indéterminées.;On fera le plan de la chambre avec arrachement des pièces adjacentes sur une échelle de 0m,01 pour mètre, et une coupe transversale, faisant voir la face du lit, à l'échelle double de celle du plan.""","Lesueur, Jean-Baptiste-Cicéron",,,0138.04.0001/71,"[array(['Lesueur, Jean-Baptiste-Cicéron'], dtype=object)]",False,[],5
6,"Concours pour l'usine de la Coulouvrenière, à Genève, jugement",,Coulouvrenière,,,,Genève,,Genève,1883-01-01,,,Pas d'extrait de rapport du jury dans la SBZ. Quatre projets remis. Pas d'indication du lauréat ou du montant d'éventuels prix. Voir SBZ 1886 vol.VIII p.146 le compte-rendu d'un exposé de l'ingénieur-entrepreneur Chappuis devant la SVIA à ce sujet,Turnbull;Bell & Cie;Escher Wyss & Cie;Rieter & Cie,Concurrent;Concurrent;Concurrent;Concurrent,,,"[array(['Turnbull'], dtype=object) array(['Bell & Cie'], dtype=object)
 array(['Escher Wyss & Cie'], dtype=object)
 array(['Rieter & Cie'], dtype=object)]",True,[976],6
7,Concours d'éléments analytiques : 2e classe : Rendu: Les détails d'un portique d'ordre dorique romain,,,,,,,,,1884-01-01,,,,,,,0138.04.0001/204 ; 0138.04.0001/268,,False,[],7
8,Concours d'émulation - 2e classe - Esquisse: Un bureau de recrutement pour un chef-lieu de département,,,,,,Paris,,France,1884-01-01,,,"Projet en lien avec la nouvelle organisation de l'armée , doit servir pour l'armée et pour la territoriale.[sic];""Le caractère de cette construction doit être la durabilité et cette mâle simplicité que présentent les édifices militaires des derniers siècles."";Programme: cours de 250 m2, magasins de 70, petit corps de garde, salle de police cabinets d'aisance dont un pour les officiers, vestibule, chambres et bureaux, 2 ateliers; à l'étage, bureaux; 2e étage,chambre, salle et dortoir.;Terrain isolé de toute part, superficie pas + de 500 m2.;""On fera les plans des étages à l'échelle de 0m,0025 pour mètre et l'élévation au double.;Toute esquisse dessinée au crayon seulement sera mise hors de concours.""","Guillaume, Edmond-Jean-Baptiste",,,0138.04.0001/72,"[array(['Guillaume, Edmond-Jean-Baptiste'], dtype=object)]",False,[],8
9,Concours pour une école d'horlogerie au Locle,,,,,,Le Locle,,Suisse,1884-01-01,1884-01-01,,"Pas d'indication de MO, de date d'ouverture ou de rendu dans la SBZ. Apparemment seuls les architectes membres du jury sont mentionnés (SBZ vol.III p.108)","Mayor, William;Rychner, Alfred",2e prix ex aequo;2e prix ex aequo,,,"[array(['Mayor, William'], dtype=object)
 array(['Rychner, Alfred'], dtype=object)]",False,[10],9
